Player,Position,Team,Total_Snaps,Rush_Snaps,Coverage_Snaps,Overall_Grade,Rush_Grade,Coverage_Grade,Tackles,Assists,Missed_Tackles,Sacks,Hits,Hurries,Pressures
Jackson Forrest,LB,DOMINION,307,136,56,84.7,63.5,56.5,25,9,7,16,6,1,23
Sahir West,ED,JAMES MAD,562,228,331,80.5,76.8,80.3,24,10,3,34,9,5,48
Bryce Deas,LB,AUBURN,185,87,26,74.3,71.2,55.2,10,5,4,8,0,3,11
Zahir Mathis,ED,MARYLAND,474,214,244,68.6,63.5,66.5,24,6,6,31,5,5,41
Yvan Kemajou,ED,PENN STATE,238,117,120,66.6,66.8,74.5,10,6,1,10,1,1,12
Nahsir Taylor,ED,MARYLAND,270,129,135,65.7,56.2,28.7,12,5,8,12,3,3,18
Chris Forbes,DI,DOMINION,402,196,206,63.4,62.5,59.5,15,4,2,10,2,1,13
Sidney Stewart,ED,MARYLAND,585,270,252,63.3,60.8,50.0,16,9,9,41,5,7,53
Bryce Jenkins,DI,MARYLAND,151,87,64,63.0,74.2,63.0,5,4,1,2,0,0,2
Hunter Malecki,DI,DOMINION,170,45,124,61.2,55.8,43.1,2,1,3,12,3,0,15
Kris Jones,ED,GEORGIA,117,48,50,58.4,52.5,39.0,4,3,2,5,0,0,5
Carson Tujague,ED,UTAH ST,719,329,369,58.4,67.2,79.6,35,19,3,12,1,3,16
Carlton Smith,LB,MARYLAND,466,214,29,57.7,76.0,81.5,48,12,5,7,1,3,11
Lorenzo McFadden-Pressley,DI,DOMINION,138,77,60,55.9,55.2,59.5,3,4,1,5,0,1,6
Noah Chambers,LB,VA TECH,283,127,23,53.5,51.9,72.0,28,10,5,6,1,1,8
